x,v
1,0
1,-0.1
0.999,-0.1998
0.997002,-0.2993
0.994009,-0.398402
0.990025,-0.497006
0.985055,-0.595015
0.979105,-0.69233
0.972181,-0.788856
0.964293,-0.884496
0.955448,-0.979157
0.945656,-1.07274
0.934929,-1.16516
0.923277,-1.25633
0.910714,-1.34614
0.897253,-1.43452
0.882907,-1.52138
0.867694,-1.60662
0.851627,-1.69018
0.834726,-1.77196
0.817006,-1.85189
0.798487,-1.92989
0.779188,-2.00588
0.759129,-2.07978
0.738332,-2.15154
0.716816,-2.22107
0.694606,-2.28831
0.671722,-2.35319
0.648191,-2.41566
0.624034,-2.47564
0.599278,-2.5331
0.573947,-2.58796
0.548067,-2.64018
0.521665,-2.6897
0.494768,-2.73649
0.467403,-2.78049
0.439598,-2.82167
0.411382,-2.85999
0.382782,-2.89541
0.353828,-2.9279
0.324549,-2.95742
0.294974,-2.98396
0.265135,-3.00749
0.23506,-3.02799
0.20478,-3.04544
0.174326,-3.05983
0.143727,-3.07114
0.113016,-3.07937
0.0822222,-3.08451
0.051377,-3.08657
0.0205114,-3.08553
-0.010344,-3.08141
-0.0411581,-3.07421
-0.0719002,-3.06395
-0.10254,-3.05063
-0.133046,-3.03428
-0.163389,-3.0149
-0.193538,-2.99254
-0.223463,-2.9672
-0.253135,-2.93892
-0.282524,-2.90772
-0.311602,-2.87366
-0.340338,-2.83675
-0.368706,-2.79704
-0.396676,-2.75458
-0.424222,-2.7094
-0.451316,-2.66156
-0.477931,-2.6111
-0.504042,-2.55809
-0.529623,-2.50257
-0.554649,-2.4446
-0.579095,-2.38425
-0.602938,-2.32157
-0.626153,-2.25663
-0.64872,-2.1895
-0.670615,-2.12025
-0.691817,-2.04895
-0.712307,-1.97567
-0.732063,-1.90049
-0.751068,-1.82348
-0.769303,-1.74473
-0.78675,-1.66431
-0.803393,-1.5823
-0.819217,-1.4988
-0.834205,-1.41388
-0.848343,-1.32763
-0.86162,-1.24014
-0.874021,-1.1515
-0.885536,-1.0618
-0.896154,-0.971119
-0.905865,-0.879562
-0.914661,-0.787216
-0.922533,-0.694175
-0.929475,-0.600534
-0.93548,-0.506385
-0.940544,-0.411824
-0.944662,-0.316946
-0.947832,-0.221846
-0.95005,-0.126619
-0.951316,-0.0313612
-0.95163,0.0638332
-0.950992,0.158869
-0.949403,0.25365
