theta,omega
0.785398,0
0.785051,-0.0693592
0.784011,-0.13867
0.782278,-0.207885
0.779854,-0.276955
0.77674,-0.345832
0.772938,-0.414467
0.768451,-0.48281
0.763283,-0.550813
0.757436,-0.618426
0.750916,-0.685598
0.743726,-0.752278
0.735872,-0.818415
0.72736,-0.883957
0.718195,-0.948851
0.708385,-1.01304
0.697937,-1.07648
0.686858,-1.13911
0.675158,-1.20088
0.662844,-1.26172
0.649926,-1.32159
0.636415,-1.38043
0.622321,-1.43818
0.607656,-1.49478
0.59243,-1.55018
0.576656,-1.60431
0.560348,-1.65713
0.543518,-1.70857
0.526181,-1.75858
0.508352,-1.80709
0.490045,-1.85406
0.471276,-1.89942
0.452062,-1.94312
0.432419,-1.9851
0.412366,-2.02532
0.391919,-2.06372
0.371098,-2.10024
0.349921,-2.13485
0.328407,-2.16749
0.306577,-2.19812
0.284452,-2.22669
0.262051,-2.25317
0.239395,-2.27751
0.216508,-2.29968
0.193409,-2.31964
0.170122,-2.33738
0.146669,-2.35285
0.123073,-2.36604
0.0993561,-2.37693
0.075542,-2.3855
0.0516539,-2.39174
0.0277151,-2.39563
0.00374914,-2.39717
-0.0202205,-2.39636
-0.0441703,-2.3932
-0.0680768,-2.3877
-0.0919165,-2.37986
-0.115666,-2.3697
-0.139303,-2.35722
-0.162803,-2.34246
-0.186144,-2.32543
-0.209304,-2.30616
-0.23226,-2.28468
-0.25499,-2.26101
-0.277473,-2.2352
-0.299687,-2.20728
-0.321612,-2.17729
-0.343226,-2.14527
-0.364511,-2.11128
-0.385446,-2.07535
-0.406012,-2.03753
-0.42619,-1.99788
-0.445963,-1.95644
-0.465313,-1.91327
-0.484223,-1.86842
-0.502676,-1.82195
-0.520657,-1.77391
-0.538149,-1.72437
-0.555139,-1.67337
-0.571612,-1.62098
-0.587554,-1.56725
-0.602953,-1.51224
-0.617795,-1.45601
-0.632069,-1.39861
-0.645764,-1.34011
-0.658868,-1.28056
-0.671371,-1.22001
-0.683265,-1.15853
-0.694539,-1.09616
-0.705185,-1.03297
-0.715196,-0.969008
-0.724563,-0.904327
-0.73328,-0.838982
-0.741341,-0.773026
-0.748739,-0.70651
-0.755469,-0.639487
-0.761527,-0.572007
-0.766908,-0.50412
-0.771608,-0.435878
-0.775624,-0.367329
-0.778954,-0.298522
-0.781594,-0.229507
-0.783544,-0.160333
-0.7848,-0.0910467
-0.785364,-0.0216974
-0.785234,0.0476669
-0.784411,0.116998
-0.782895,0.186248
-0.780686,0.255369
-0.777788,0.324311
-0.774201,0.393027
-0.769928,0.461467
-0.764973,0.529582
-0.759338,0.597322
-0.753028,0.664637
-0.746047,0.731477
-0.7384,0.797789
-0.730093,0.863523
-0.721132,0.928625
-0.711523,0.993043
-0.701273,1.05672
-0.690391,1.11961
-0.678884,1.18165
-0.666761,1.24279
-0.654031,1.30297
-0.640705,1.36214
-0.626792,1.42023
-0.612304,1.4772
-0.597252,1.53298
-0.581648,1.58752
-0.565506,1.64076
-0.548838,1.69263
-0.531658,1.74309
-0.513981,1.79208
-0.495821,1.83954
-0.477195,1.8854
-0.458119,1.92963
-0.438608,1.97216
-0.418682,2.01293
-0.398356,2.05191
-0.37765,2.08902
-0.356582,2.12424
-0.335171,2.1575
-0.313438,2.18876
-0.291403,2.21798
-0.269086,2.24511
-0.246508,2.27012
-0.223691,2.29298
-0.200656,2.31364
-0.177425,2.33207
-0.154022,2.34826
-0.130468,2.36216
-0.106786,2.37377
-0.0829999,2.38307
-0.0591325,2.39004
-0.035207,2.39466
-0.011247,2.39694
0.012724,2.39687
0.0366825,2.39444
0.060605,2.38967
0.0844682,2.38256
0.108249,2.37313
0.131923,2.36137
0.155468,2.34732
0.178862,2.331
0.202081,2.31243
0.225103,2.29163
0.247906,2.26864
0.270469,2.2435
0.292769,2.21624
0.314786,2.18689
0.3365,2.1555
0.35789,2.12212
0.378936,2.08679
0.399619,2.04956
0.419921,2.01047
0.439823,1.96959
0.459307,1.92695
0.478356,1.88262
0.496954,1.83666
0.515084,1.7891
0.532731,1.74003
0.54988,1.68948
0.566516,1.63751
0.582625,1.5842
0.598195,1.52958
0.613213,1.47372
0.627666,1.41669
0.641543,1.35852
0.654833,1.29929
0.667525,1.23905
0.679611,1.17786
0.69108,1.11576
0.701923,1.05282
0.712133,0.989095
0.721703,0.924633
0.730624,0.85949
0.73889,0.793719
0.746496,0.727373
0.753436,0.660503
0.759705,0.59316
0.765298,0.525395
0.770211,0.457259
0.774442,0.3888
0.777986,0.320069
0.780843,0.251114
0.783008,0.181984
0.784482,0.112728
0.785262,0.0433933
0.78535,-0.0259714
0.784743,-0.0953182
0.783443,-0.164599
0.781451,-0.233765
0.778769,-0.302768
0.775397,-0.37156
0.771338,-0.440092
0.766596,-0.508314
0.761173,-0.576177
0.755074,-0.64363
0.748302,-0.710624
0.740863,-0.777107
0.732762,-0.843027
0.724005,-0.908332
0.714597,-0.97297
0.704548,-1.03689
0.693862,-1.10003
0.68255,-1.16234
0.670618,-1.22377
0.658078,-1.28425
0.644937,-1.34374
0.631206,-1.40218
0.616897,-1.45951
0.60202,-1.51566
0.586588,-1.5706
0.570612,-1.62425
0.554107,-1.67655
0.537086,-1.72746
0.519563,-1.77692
0.501552,-1.82486
0.483071,-1.87123
0.464133,-1.91598
0.444757,-1.95904
0.424958,-2.00037
0.404755,-2.03991
0.384166,-2.07762
0.363209,-2.11343
0.341904,-2.14731
0.32027,-2.1792
0.298327,-2.20906
0.276096,-2.23685
0.253597,-2.26253
0.230852,-2.28606
0.207883,-2.30741
0.184711,-2.32655
0.161359,-2.34344
0.13785,-2.35806
0.114206,-2.37039
0.09045,-2.38041
0.0666054,-2.38811
0.0426956,-2.39347
0.0187439,-2.39648
-0.0052262,-2.39714
-0.0291911,-2.39546
-0.0531275,-2.39142
-0.0770117,-2.38504
-0.10082,-2.37633
-0.124531,-2.3653
-0.148119,-2.35196
-0.171562,-2.33635
-0.194838,-2.31848
-0.217924,-2.29837
-0.240798,-2.27607
-0.263438,-2.2516
-0.285823,-2.22499
-0.307931,-2.19629
-0.329742,-2.16554
-0.351235,-2.13278
-0.372391,-2.09805
-0.39319,-2.06141
-0.413613,-2.02289
-0.433642,-1.98257
-0.453258,-1.94047
-0.472446,-1.89667
-0.491186,-1.85121
-0.509464,-1.80415
-0.527264,-1.75554
-0.54457,-1.70544
-0.561368,-1.65392
-0.577644,-1.60102
-0.593384,-1.5468
-0.608576,-1.49133
-0.623207,-1.43465
-0.637265,-1.37683
-0.65074,-1.31793
-0.66362,-1.258
-0.675896,-1.1971
-0.687559,-1.13528
-0.698599,-1.0726
-0.709008,-1.00911
-0.718779,-0.944872
-0.727903,-0.879936
-0.736375,-0.814356
-0.744188,-0.748185
-0.751337,-0.681473
-0.757816,-0.614272
-0.763621,-0.546634
-0.768748,-0.478608
-0.773192,-0.410245
-0.776952,-0.341594
-0.780023,-0.272704
-0.782405,-0.203624
-0.784095,-0.134402
-0.785093,-0.0650863
-0.785397,0.00427421
-0.785007,0.0736318
-0.783924,0.142938
-0.782149,0.212145
-0.779682,0.281205
-0.776525,0.350068
-0.772681,0.418687
-0.768153,0.487011
-0.762942,0.554991
-0.757054,0.622578
-0.750492,0.689721
-0.743261,0.756369
-0.735367,0.822471
-0.726814,0.887975
-0.717609,0.952827
-0.70776,1.01697
-0.697272,1.08036
-0.686155,1.14294
-0.674416,1.20465
-0.662065,1.26544
-0.649111,1.32525
-0.635564,1.38402
-0.621434,1.4417
-0.606734,1.49823
-0.591474,1.55355
-0.575667,1.60761
-0.559326,1.66034
-0.542465,1.71169
-0.525097,1.76161
-0.507237,1.81003
-0.488901,1.8569
-0.470105,1.90216
-0.450864,1.94575
-0.431195,1.98763
-0.411117,2.02774
-0.390647,2.06602
-0.369803,2.10243
-0.348604,2.13692
-0.327071,2.16944
-0.305222,2.19994
-0.283079,2.22838
-0.260662,2.25473
-0.237992,2.27893
-0.21509,2.30097
-0.19198,2.3208
-0.168682,2.3384
-0.145219,2.35373
-0.121615,2.36678
-0.0978913,2.37753
-0.074072,2.38595
-0.05018,2.39204
-0.0262389,2.39579
-0.00227206,2.39719
0.021697,2.39624
0.0456448,2.39293
0.0695479,2.38729
0.0933828,2.3793
0.117126,2.369
0.140755,2.35638
0.164246,2.34148
0.187577,2.32431
0.210725,2.3049
0.233668,2.28328
0.256383,2.25948
0.27885,2.23354
0.301047,2.20549
0.322953,2.17538
0.344548,2.14324
0.365811,2.10912
0.386724,2.07307
0.407266,2.03514
0.42742,1.99537
0.447168,1.95383
0.466491,1.91055
0.485373,1.8656
0.503798,1.81903
0.521749,1.7709
0.539211,1.72127
0.556169,1.67018
0.57261,1.61771
0.588519,1.5639
0.603883,1.50881
0.618691,1.4525
0.63293,1.39504
0.646588,1.33647
0.659656,1.27685
0.672122,1.21625
0.683977,1.15471
0.695213,1.09229
0.705821,1.02905
0.715792,0.965042
0.725119,0.90032
0.733796,0.834936
0.741816,0.768943
0.749173,0.702395
0.755862,0.635342
0.761878,0.567835
0.767217,0.499925
0.771875,0.431662
0.775849,0.363096
0.779137,0.294275
0.781734,0.225249
0.783641,0.156066
0.784855,0.0867749
0.785376,0.0174233
0.785204,-0.0519404
0.784338,-0.121268
0.782779,-0.190511
0.780528,-0.259622
0.777587,-0.328552
0.773958,-0.397252
0.769643,-0.465674
0.764645,-0.533767
0.758969,-0.601483
0.752617,-0.66877
0.745595,-0.735579
0.737907,-0.801857
0.72956,-0.867553
0.720558,-0.932615
0.71091,-0.996989
0.700621,-1.06062
0.6897,-1.12346
0.678155,-1.18545
0.665994,-1.24653
0.653227,-1.30665
0.639864,-1.36575
0.625916,-1.42378
0.611393,-1.48067
0.596306,-1.53638
0.580669,-1.59084
0.564494,-1.64399
0.547794,-1.69578
0.530583,-1.74615
0.512876,-1.79505
0.494687,-1.84241
0.476033,-1.88818
0.456929,-1.9323
0.437392,-1.97472
0.41744,-2.01539
0.397091,-2.05425
0.376362,-2.09125
0.355272,-2.12634
0.333841,-2.15948
0.312089,-2.19062
0.290036,-2.21971
0.267702,-2.24671
0.245109,-2.27159
0.222277,-2.29431
0.19923,-2.31484
0.175988,-2.33313
0.152575,-2.34918
0.129012,-2.36295
0.105323,-2.37441
0.0815314,-2.38357
0.0576597,-2.39039
0.0337314,-2.39487
0.0097701,-2.397
-0.0142008,-2.39679
-0.0381578,-2.39422
-0.0620774,-2.3893
-0.0859361,-2.38205
-0.109711,-2.37247
-0.133378,-2.36057
-0.156914,-2.34638
-0.180298,-2.32992
-0.203505,-2.31121
-0.226515,-2.29028
-0.249304,-2.26716
-0.271851,-2.24188
-0.294134,-2.21449
-0.316133,-2.18501
-0.337828,-2.1535
-0.359197,-2.12
-0.380221,-2.08455
-0.400882,-2.0472
-0.421159,-2.00801
-0.441036,-1.96701
-0.460493,-1.92427
-0.479515,-1.87984
-0.498085,-1.83377
-0.516186,-1.78612
-0.533802,-1.73695
-0.55092,-1.68631
-0.567524,-1.63427
-0.583601,-1.58087
-0.599137,-1.52617
-0.61412,-1.47024
-0.628538,-1.41313
-0.642379,-1.3549
-0.655632,-1.29561
-0.668288,-1.23531
-0.680335,-1.17405
-0.691766,-1.11191
-0.702571,-1.04892
-0.712742,-0.985143
-0.722271,-0.920638
-0.731152,-0.855455
-0.739378,-0.789647
-0.746943,-0.723267
-0.753842,-0.656367
-0.760069,-0.588996
-0.76562,-0.521207
-0.770492,-0.453049
-0.77468,-0.384573
-0.778182,-0.315826
-0.780996,-0.246859
-0.783119,-0.17772
-0.78455,-0.108458
-0.785288,-0.0391197
-0.785332,0.0302454
-0.784683,0.0995895
-0.783341,0.168864
-0.781306,0.238022
-0.778581,0.307014
-0.775167,0.375791
-0.771066,0.444305
-0.766281,0.512506
-0.760817,0.580345
-0.754676,0.647772
-0.747863,0.714736
-0.740383,0.781185
-0.732241,0.847069
-0.723444,0.912335
-0.713997,0.97693
-0.703907,1.0408
-0.693183,1.10389
-0.681832,1.16615
-0.669863,1.22752
-0.657285,1.28795
-0.644108,1.34738
-0.630341,1.40575
-0.615996,1.463
-0.601085,1.51909
-0.585619,1.57394
-0.56961,1.62751
-0.553073,1.67973
-0.53602,1.73055
-0.518467,1.77992
-0.500427,1.82776
-0.481917,1.87403
-0.462952,1.91868
-0.443549,1.96164
-0.423725,2.00286
-0.403498,2.04229
-0.382885,2.07988
-0.361906,2.11557
-0.34058,2.14933
-0.318926,2.1811
-0.296965,2.21083
-0.274717,2.23849
-0.252202,2.26404
-0.229443,2.28744
-0.206461,2.30865
-0.183277,2.32765
-0.159915,2.3444
-0.136397,2.35889
-0.112745,2.37108
-0.088983,2.38095
-0.0651338,2.38851
-0.0412207,2.39372
-0.0172672,2.39659
0.00670324,2.39711
0.0306671,2.39527
0.0546009,2.39109
0.0784812,2.38457
0.102285,2.37571
0.125988,2.36454
0.149568,2.35107
0.173001,2.33531
0.196266,2.3173
0.21934,2.29706
0.2422,2.27462
0.264825,2.25002
0.287194,2.22328
0.309284,2.19445
0.331076,2.16358
0.352549,2.13069
0.373683,2.09585
0.394459,2.05909
0.414859,2.02046
0.434863,1.98002
0.454453,1.93782
0.473613,1.89391
0.492326,1.84835
0.510575,1.80119
0.528345,1.75249
0.54562,1.70231
0.562386,1.6507
0.578629,1.59771
0.594336,1.54342
0.609493,1.48787
0.624089,1.43112
0.638112,1.37324
0.651551,1.31427
0.664394,1.25427
0.676633,1.19331
0.688257,1.13144
0.699259,1.06871
0.709629,1.00517
0.71936,0.94089
0.728444,0.875914
0.736876,0.810296
0.744648,0.744089
0.751756,0.677346
0.758193,0.610117
0.763957,0.542453
0.769041,0.474405
0.773444,0.406023
0.777161,0.337356
0.78019,0.268453
0.782529,0.199362
0.784177,0.130133
0.785132,0.0608133
0.785393,-0.0085484
0.784961,-0.0779042
0.783835,-0.147206
0.782017,-0.216405
0.779507,-0.285454
0.776308,-0.354304
0.772422,-0.422906
0.767851,-0.49121
0.762599,-0.559168
0.756669,-0.626729
0.750066,-0.693843
0.742794,-0.760459
0.734859,-0.826525
0.726266,-0.89199
0.717021,-0.9568
0.707132,-1.0209
0.696606,-1.08424
0.68545,-1.14677
0.673673,-1.20843
0.661284,-1.26915
0.648293,-1.3289
0.63471,-1.38761
0.620545,-1.44522
0.605809,-1.50167
0.590515,-1.55692
0.574675,-1.61089
0.558302,-1.66355
0.541409,-1.71481
0.52401,-1.76464
0.506121,-1.81296
0.487756,-1.85973
0.468932,-1.90489
0.449664,-1.94838
0.42997,-1.99016
0.409867,-2.03015
0.389373,-2.06832
0.368507,-2.10461
0.347287,-2.13898
0.325734,-2.17138
0.303866,-2.20175
0.281705,-2.23007
0.259272,-2.25628
0.236587,-2.28036
0.213672,-2.30226
0.190549,-2.32195
0.167241,-2.33941
0.143769,-2.3546
0.120156,-2.36751
0.0964261,-2.37811
0.0726017,-2.38639
0.048706,-2.39234
0.0247626,-2.39594
0.000794978,-2.3972
-0.0231735,-2.3961
-0.0471192,-2.39265
-0.0710187,-2.38686
-0.0948486,-2.37873
-0.118586,-2.36828
-0.142207,-2.35553
-0.165689,-2.34048
-0.189009,-2.32318
-0.212145,-2.30363
-0.235074,-2.28188
-0.257775,-2.25794
-0.280226,-2.23187
-0.302405,-2.20369
-0.324293,-2.17345
-0.345868,-2.14119
-0.36711,-2.10695
-0.388,-2.07079
-0.40852,-2.03274
-0.428649,-1.99286
-0.448371,-1.95121
-0.467667,-1.90783
-0.486522,-1.86278
-0.504918,-1.81611
-0.522839,-1.76789
-0.54027,-1.71816
-0.557197,-1.66699
-0.573606,-1.61443
-0.589482,-1.56054
-0.604812,-1.50537
-0.619585,-1.449
-0.633788,-1.39146
-0.647411,-1.33283
-0.660441,-1.27315
-0.67287,-1.21248
-0.684688,-1.15089
-0.695885,-1.08842
-0.706453,-1.02513
-0.716385,-0.961075
-0.725673,-0.896309
-0.734309,-0.830886
-0.742288,-0.764858
-0.749604,-0.698277
-0.756252,-0.631195
-0.762227,-0.563662
-0.767524,-0.495729
-0.77214,-0.427446
-0.776072,-0.358862
-0.779317,-0.290027
-0.781872,-0.22099
-0.783736,-0.151799
-0.784907,-0.0825029
-0.785386,-0.0131492
-0.78517,0.0562137
-0.784262,0.125538
-0.78266,0.194774
-0.780367,0.263875
-0.777383,0.332793
-0.773711,0.401477
-0.769354,0.46988
-0.764315,0.537951
-0.758597,0.605642
-0.752204,0.672901
-0.74514,0.739678
-0.737412,0.805922
-0.729024,0.871581
-0.719982,0.936602
-0.710294,1.00093
-0.699966,1.06452
-0.689006,1.1273
-0.677423,1.18924
-0.665225,1.25026
-0.652421,1.31032
-0.639022,1.36936
-0.625037,1.42732
-0.610479,1.48414
-0.595359,1.53977
-0.579688,1.59415
-0.56348,1.64722
-0.546748,1.69893
-0.529506,1.74921
-0.511769,1.79801
-0.493551,1.84527
-0.474868,1.89094
-0.455738,1.93496
-0.436175,1.97728
-0.416198,2.01784
-0.395824,2.05658
-0.375072,2.09347
-0.353961,2.12844
-0.33251,2.16146
-0.310739,2.19247
-0.288668,2.22143
-0.266317,2.24831
-0.243708,2.27306
-0.220863,2.29564
-0.197803,2.31603
-0.17455,2.33419
-0.151127,2.35009
-0.127556,2.36372
-0.10386,2.37505
-0.0800626,2.38405
-0.0561867,2.39073
-0.0322557,2.39507
-0.00829312,2.39706
0.0156776,2.3967
0.039633,2.39398
0.0635495,2.38892
0.0874037,2.38153
0.111172,2.3718
0.134832,2.35977
0.15836,2.34543
0.181733,2.32883
0.204929,2.30998
0.227925,2.28892
0.2507,2.26566
0.273231,2.24025
0.295498,2.21273
0.317479,2.18313
0.339154,2.1515
0.360502,2.11787
0.381505,2.0823
0.402142,2.04484
0.422396,2.00553
0.442247,1.96443
0.461678,1.92158
0.480673,1.87705
0.499214,1.83088
0.517285,1.78314
0.534872,1.73387
0.551958,1.68315
0.56853,1.63102
0.584574,1.57753
0.600076,1.52276
0.615025,1.46676
0.629407,1.40958
0.643213,1.35128
0.656429,1.29192
0.669048,1.23156
0.681058,1.17025
0.69245,1.10805
0.703216,1.04501
0.713347,0.981189
0.722837,0.916641
0.731678,0.851418
0.739863,0.785573
0.747387,0.71916
0.754245,0.652228
0.760431,0.584831
0.76594,0.517018
0.77077,0.448839
0.774916,0.380344
0.778376,0.311583
0.781147,0.242604
0.783227,0.173456
0.784615,0.104187
0.785311,0.0348459
0.785312,-0.0345193
0.78462,-0.103861
0.783235,-0.17313
0.781158,-0.242278
0.77839,-0.311258
0.774934,-0.380021
0.770791,-0.448517
0.765964,-0.516697
0.760458,-0.584513
0.754276,-0.651912
0.747421,-0.718846
0.7399,-0.785262
0.731718,-0.851109
0.72288,-0.916335
0.713394,-0.980887
0.703265,-1.04471
0.692502,-1.10775
0.681113,-1.16996
0.669106,-1.23127
0.65649,-1.29164
0.643276,-1.351
0.629474,-1.40931
0.615094,-1.46649
0.600148,-1.5225
0.584648,-1.57728
0.568607,-1.63077
0.552037,-1.68291
0.534953,-1.73364
0.517369,-1.78291
0.4993,-1.83066
0.480761,-1.87683
0.461769,-1.92137
0.442339,-1.96423
0.42249,-2.00534
0.402239,-2.04466
0.381603,-2.08213
0.360602,-2.11771
0.339255,-2.15134
0.317582,-2.18299
0.295602,-2.2126
0.273337,-2.24013
0.250807,-2.26555
0.228033,-2.28881
0.205038,-2.30989
0.181843,-2.32875
0.15847,-2.34536
0.134943,-2.3597
0.111284,-2.37175
0.0875158,-2.38149
