x,y,vx,vy
0,0,35.3553,35.3553
0.352819,0.352329,35.2086,35.1108
0.704178,0.702221,35.0634,34.868
1.05409,1.04969,34.9195,34.627
1.40257,1.39477,34.777,34.3878
1.74963,1.73746,34.6358,34.1503
2.09529,2.07778,34.496,33.9146
2.43956,2.41575,34.3575,33.6805
2.78245,2.75139,34.2203,33.4481
3.12397,3.08472,34.0844,33.2174
3.46414,3.41575,33.9498,32.9883
3.80297,3.74449,33.8164,32.7607
4.14047,4.07097,33.6843,32.5348
4.47666,4.39519,33.5533,32.3104
4.81154,4.71718,33.4236,32.0876
5.14514,5.03695,33.2951,31.8663
5.47745,5.35451,33.1677,31.6465
5.80849,5.66988,33.0415,31.4281
6.13828,5.98308,32.9164,31.2113
6.46683,6.29411,32.7925,30.9958
6.79414,6.603,32.6697,30.7818
7.12022,6.90976,32.5479,30.5692
7.4451,7.21439,32.4273,30.358
7.76877,7.51692,32.3077,30.1481
8.09126,7.81736,32.1892,29.9396
8.41256,8.11572,32.0717,29.7324
8.73269,8.41201,31.9553,29.5265
9.05167,8.70625,31.8398,29.322
9.36949,8.99845,31.7254,29.1187
9.68618,9.28863,31.612,28.9166
10.0017,9.57679,31.4996,28.7159
10.3162,9.86295,31.3881,28.5163
10.6295,10.1471,31.2776,28.318
10.9417,10.4293,31.168,28.1208
11.2529,10.7095,31.0594,27.9249
11.5629,10.9878,30.9517,27.7301
11.8719,11.2641,30.8449,27.5365
12.1798,11.5385,30.739,27.3441
12.4867,11.811,30.634,27.1527
12.7925,12.0816,30.5298,26.9625
13.0973,12.3503,30.4266,26.7734
13.401,12.6171,30.3242,26.5853
13.7038,12.882,30.2226,26.3984
14.0055,13.145,30.1219,26.2125
14.3062,13.4062,30.022,26.0276
14.6059,13.6656,29.923,25.8438
14.9047,13.9231,29.8247,25.661
15.2024,14.1788,29.7273,25.4792
15.4992,14.4327,29.6306,25.2984
15.795,14.6848,29.5347,25.1186
16.0899,14.9351,29.4396,24.9398
16.3838,15.1836,29.3453,24.7619
16.6768,15.4303,29.2517,24.585
16.9689,15.6753,29.1589,24.4091
17.26,15.9185,29.0668,24.234
17.5502,16.16,28.9755,24.0599
17.8395,16.3997,28.8848,23.8867
18.1279,16.6377,28.7949,23.7144
18.4154,16.874,28.7057,23.543
18.702,17.1086,28.6172,23.3724
18.9878,17.3415,28.5293,23.2028
19.2726,17.5726,28.4422,23.0339
19.5566,17.8021,28.3557,22.866
19.8397,18.03,28.2699,22.6988
20.122,18.2561,28.1848,22.5325
20.4034,18.4806,28.1003,22.367
20.684,18.7035,28.0165,22.2023
20.9638,18.9247,27.9333,22.0385
21.2427,19.1442,27.8508,21.8754
21.5208,19.3622,27.7688,21.7131
21.7981,19.5785,27.6875,21.5515
22.0745,19.7932,27.6068,21.3908
22.3502,20.0063,27.5267,21.2307
22.6251,20.2178,27.4472,21.0715
22.8992,20.4278,27.3683,20.9129
23.1724,20.6361,27.29,20.7551
23.445,20.8429,27.2123,20.5981
23.7167,21.0481,27.1351,20.4417
23.9877,21.2517,27.0585,20.286
24.2579,21.4538,26.9825,20.1311
24.5273,21.6543,26.9071,19.9768
24.796,21.8533,26.8321,19.8232
25.064,22.0508,26.7578,19.6703
25.3312,22.2467,26.6839,19.5181
25.5976,22.4411,26.6107,19.3665
25.8634,22.6341,26.5379,19.2156
26.1284,22.8255,26.4656,19.0653
26.3927,23.0154,26.3939,18.9157
26.6563,23.2038,26.3227,18.7667
26.9192,23.3907,26.252,18.6183
27.1813,23.5761,26.1818,18.4706
27.4428,23.7601,26.1121,18.3234
27.7036,23.9426,26.0429,18.1769
27.9636,24.1237,25.9742,18.0309
28.223,24.3032,25.9059,17.8856
28.4818,24.4814,25.8382,17.7408
28.7398,24.6581,25.7709,17.5967
28.9972,24.8333,25.704,17.4531
29.2539,25.0071,25.6377,17.31
29.5099,25.1795,25.5718,17.1676
29.7653,25.3505,25.5063,17.0256
30.0201,25.52,25.4413,16.8843
30.2742,25.6882,25.3768,16.7435
30.5276,25.8549,25.3127,16.6032
30.7804,26.0202,25.249,16.4634
31.0326,26.1842,25.1857,16.3242
31.2841,26.3467,25.1229,16.1855
31.535,26.5079,25.0605,16.0474
31.7853,26.6677,24.9986,15.9097
32.035,26.8261,24.937,15.7725
32.2841,26.9831,24.8758,15.6359
32.5325,27.1388,24.8151,15.4997
32.7804,27.2931,24.7548,15.364
